Sku,Name,Details,Wine Type,Vintage,Size,Price,Sale price,Image
14179,Yellow Tail Pinot Noir,The flavors of lush raspberries and a touch of ...,Pinot Noir,2014,750ML,8.89,6.79,http://library.bevnetwork.com/labels/545/t_69738.jpg
6841,Concha Y Toro Pinot Noir Casillero del Diablo,Casillero del Diablo Reserva Pinot Noir is a ...,Pinot Noir,,750ML,9.69,6.99,http://library.bevnetwork.com/bottles/565/t_121136.jpg
34291,Citra Pinot Noir,"Rich notes of wild berries, raspberry, currant ...",Pinot Noir,2012,750ML,9.99,6.99,http://library.bevnetwork.com/labels/620/t_278320.jpg
35912,Havenscourt Pinot Noir,,Pinot Noir,,750ML,8.99,6.99,http://www.getwineonline.com//labels/t_P35912.JPG
3917,The Naked Grape Pinot Noir,Smooth red wine with aromas of black cherry and ...,Pinot Noir,,750ML,9.29,7.09,http://library.bevnetwork.com/labels/500/t_75753.jpg
4271,Markovic Estates Pinot Noir Semi Dry Reserve,"Smells like strawberries, raspberries and white ...",Pinot Noir,2014,750ML,9.69,7.39,http://library.bevnetwork.com/labels/595/t_147274.jpg
4748,Arbor Mist Merlot Blackberry,A delicious blend of full-bodied Merlot wine and ...,Merlot,,750ML,5.19,3.99,http://library.bevnetwork.com/labels/770/t_82638.jpg
4750,Arbor Mist White Merlot Cranberry Twist,A delightful bled of crisp . White Merlot wine ...,Merlot,,750ML,5.19,3.99,http://library.bevnetwork.com/labels/770/t_82639.jpg
771,Crane Lake Merlot,"""Light and refreshing with currant and blackberry",Merlot,2013,750ML,6.49,4.99,http://library.bevnetwork.com/labels/500/t_247794.jpg
24,Casa del Toro Cabernet Sauvignon Merlot,This wine is made out of selected grapes from our,Merlot,2015,750ML,6.49,4.99,http://www.getwineonline.com//labels/t_B00024.jpg
22,Casa del Toro Merlot,This wine is made out of selected Merlot grapes ...,Merlot,2014,750ML,6.49,4.99,http://www.getwineonline.com//labels/t_B00022.JPG
3878,Tisdale Merlot,"Our Merlot offers a smooth, full-flavored profile",Merlot,,750ML,6.69,5.14,http://library.bevnetwork.com/labels/500/t_128074.jpg
20263,Glen Ellen Merlot Reserve,MIX & MATCH !!!!!   3 FOR $13.50 3 FOR $13.50 3 ...,Merlot,2011,750ML,6.99,5.38,http://library.bevnetwork.com/bottles/500/t_264153.jpg
44568,Frontera Cabernet Sauvignon Merlot,Fresh ...,Merlot,2014,750ML,7.79,5.99,http://library.bevnetwork.com/labels/565/t_29457.jpg
49656,Vitiano Rosato,"Vitiano Rosato is produced from 30% Sangiovese, ...",Merlot,2014,750ML,7.99,5.99,http://library.bevnetwork.com/labels/620/t_189758.jpg
34372,Sutter Home White Merlot,"A bright, light red color, and sweet cherry and ...",Merlot,2012,750ML,7.99,6.17,http://library.bevnetwork.com/labels/500/t_83351.jpg
53780,Sutter Home Merlot,"Gaze at the deep red color, sip the deep cherry ...",Merlot,2010,750ML,7.99,6.17,http://library.bevnetwork.com/labels/500/t_132238.jpg
1953,Barefoot Merlot,"The perfect combo of cherry, boysenberry, plum ...",Merlot,2011,750ML,7.99,6.17,http://library.bevnetwork.com/labels/500/t_127748.jpg
70170,Woodbridge By Robert Mondavi Merlot,The enticing aromas and flavors of our Woodbridge,Merlot,2013,750ML,7.99,6.19,http://library.bevnetwork.com/labels/500/t_241904.jpg
44464,Brownstone Winery Merlot,,Merlot,,750ML,7.99,6.19,http://library.bevnetwork.com/labels/500/t_122035.jpg
4821,Fetzer Merlot Eagle Peak,"This Merlot has a deep, rich, ruby color. Warm ...",Merlot,2012,750ML,8.59,6.59,http://library.bevnetwork.com/labels/500/t_297967.jpg
4011,Liberty Creek Merlot,Merlot is one of America's fastest growing red ...,Merlot,,1.5L,8.59,6.59,http://library.bevnetwork.com/labels/500/t_48532.jpg
40636,Dark Horse Merlot,Dark Horse Merlot has robust flavors of jammy ...,Merlot,,750ML,8.59,6.59,http://www.getwineonline.com//images/t_not_available.gif
